supplier_code,brand_code,category,description,size,stone_color,plating_color,supplier_price_usd,sale_price_eur,supplier_quantity,image_file,pdf_page
TCC00-1414,PRD-196,Nipple Clicker,100% Ti-6AL4V-ELi ASTM F136 Titanium Clicker+White Zirconia,1.6*14mm,Clear CZ,Titanium Color,7.11,29.9,45,TCC00-1414.webp,77
TCC00-PK1414,PRD-197,Nipple Clicker,100% Ti-6AL4V-ELi ASTM F136 Titanium Clicker+ pink Zirconia,1.6*14mm,Pink CZ,Titanium Color,7.11,29.9,88,TCC00-PK1414.webp,77
TCF05-1414,PRD-198,one side fixed,ASTM F136 Titanium Internally Threaded Nipple Ring(one side fixed) +cubic zircon,1.6*14mm,Clear CZ,Titanium Color,4.2,19.9,15,TCF05-1414.webp,77
TCF05G-1414,PRD-199,one side fixed,PVD GOLD ASTM F136 Titanium Internall y Threaded Nipple Ring(one side fixed)+cubic zircon,1.6*14mm,Clear CZ,PVD gold color,4.49,19.9,6,TCF05G-1414.webp,77
TCF07G-1414,PRD-200,one side fixed,24k PVD GOLD ASTM F136 titanium internally threaded( one side fixed) nipple ring,1.6*14+4/4mm( wear size: 13.75mm),Clear CZ,PVD gold color,1.44,14.9,75,TCF07G-1414.webp,77
TCF30524-BK1414,PRD-201,one side fixed,ASTM F136 titanium internally threaded( one side fixed) nipple ring,1.6*14mm,Black CZ,Titanium Color,3.56,19.9,31,TCF30524-BK1414.webp,77
TCF30524-OR1414,PRD-202,one side fixed,ASTM F136 titanium internally threaded( Left side fixed) nipple ring,1.6*14mm,Orange Red CZ,Titanium Color,3.56,19.9,45,TCF30524-OR1414.webp,77
TCS03-14125,NIP-048,Threadless Nipple ring,ASTM F136 titanium threadless nipple ring with 5A clear CZ,1.6*12+5/5mm,Clear CZ,Titanium Color,3.0,17.9,212,TCS03-14125.webp,77
TCS04-1414,NIP-053,Threadless Nipple ring,ASTM F136 titanium threadless nipple ring with 5A clear CZ,"1.6*14mm； RD4mm,3mm； Ball1.3mm",Clear CZ,Titanium Color,5.44,24.9,78,TCS04-1414.webp,78
TCS04-1416,NIP-054,Threadless Nipple ring,ASTM F136 titanium threadless nipple ring with 5A clear CZ,"1.6*16mm； RD4mm,3mm； 1.3mmBall",Clear CZ,Titanium Color,5.44,24.9,190,TCS04-1416.webp,78
TCS04G-1414,NIP-055,Threadless Nipple ring,PVD gold ASTM F136 titanium threadless nipple ring with 5A clear CZ,1.6*14mm,Clear CZ,PVD Gold Color,5.56,24.9,106,TCS04G-1414.webp,78
TCS08BK-141404,NIP-056,Threadless Nipple ring,PVD BLACK ASTM F136 titanium threadless nipple ring,1.6*14+4/4mm,,PVD Black,2.22,14.9,109,TCS08BK-141404.webp,78
TCS21-1412,NIP-057,Threadless Nipple ring,ASTM F136 titanium,1.6*12+4.5mm,Clear CZ,Titanium Color,3.89,19.9,203,TCS21-1412.webp,78
TCS21-1414,NIP-058,Threadless Nipple ring,ASTM F136 titanium,1.6*14+4.5mm,Clear CZ,Titanium Color,3.89,19.9,57,TCS21-1414.webp,78
TCS21-1416,NIP-059,Threadless Nipple ring,ASTM F136 titanium,1.6*16+4.5mm,Clear CZ,Titanium Color,3.89,19.9,174,TCS21-1416.webp,78
TCS21G-1412,NIP-060,Threadless Nipple ring,ASTM F136 titanium Threadeless PVD GOLD+CZ,1.6*12+4.5mm,Clear CZ,PVD gold color,4.01,19.9,234,TCS21G-1412.webp,78
TCS21G-1414,NIP-061,Threadless Nipple ring,ASTM F136 titanium Threadeless PVD GOLD,1.6*14+4.5mm,Clear CZ,PVD gold color,4.01,19.9,167,TCS21G-1414.webp,78
TCS21G-1416,NIP-062,Threadless Nipple ring,ASTM F136 titanium Threadeless PVD GOLD+CZ,1.6*16+5mm,Clear CZ,PVD gold color,4.01,19.9,98,TCS21G-1416.webp,78
TCS31-1414,NIP-063,Threadless Nipple ring,ASTM F136 Titanium +cubic z ircon,z 1.6*14mm，2.5mm锆石,Clear CZ,Titanium Color,3.31,17.9,2,TCS31-1414.webp,78
TCS30521G-CL1414,NIP-064,Threadless Nipple ring,PVD gold color ASTM F136 Titanium Nipple barbell hanging threadless with clear CZ,1.6*14mm( wear size: 12mm)+4mm,Clear CZ,PVD gold color,5.0,24.9,126,TCS30521G-CL1414.webp,78
TCS30525-CL1420,NIP-065,Threadless Nipple ring,ASTM F136 Titanium +cubic z ircon,z 1.6*20mm( wear size: 14mm),Clear CZ,Titanium Color,5.44,24.9,61,TCS30525-CL1420.webp,78
TCS30525G-CL1420,NIP-066,Threadless Nipple ring,PVD GOLD ASTM F136 Titanium +cubic z ircon,1.6*20mm( wear size: z 14mm),Clear CZ,PVD Gold Color,5.78,24.9,36,TCS30525G-CL1420.webp,78
TCS30526G-CL1414,NIP-067,Threadless Nipple ring,PVD GOLD ASTM F136 Titanium +cubic z ircon,z 1.6*14+7.4mm; RD 4mm,Clear CZ,PVD Gold Color,5.33,24.9,29,TCS30526G-CL1414.webp,78
TCSV21-CL1412,NIP-068,Threadless Nipple ring,ASTM F136 Titanium threadless nipple ring with clear CZ stones,1.6*12mm,Clear CZ,Titanium Color,5.33,24.9,33,TCSV21-CL1412.webp,78
TCSV21G-AB1412,NIP-069,Threadless Nipple ring,PVD GOLD ASTM F136 Titanium +cubic z ircon,z 1.6*12mm,AB CZ,PVD Gold Color,5.56,24.9,9,TCSV21G-AB1412.webp,78
TCSV21G-CL1412,NIP-070,Threadless Nipple ring,PVD gold ASTM F136 Titanium threadless nipple ring with clear CZ stones,1.6*12mm,Clear CZ,PVD Gold Color,5.56,24.9,45,TCSV21G-CL1412.webp,78
TCSV22-CL1414,NIP-071,Threadless Nipple ring,ASTM F136 Titanium +cubic z ircon,z 1.6*14mm,Clear CZ,Titanium Color,8.0,29.9,10,TCSV22-CL1414.webp,78
TCSV3091-CL1414,NIP-072,Threadless Nipple ring,ASTM F136 Titanium threadless nipple ring +cubic zircon,1.6*14mm,Clear CZ,Titanium Color,6.33,29.9,30,TCSV3091-CL1414.webp,78
TCSV3093-CL1414,NIP-073,Threadless Nipple ring,ASTM F136 Titanium threadless nipple ring +cubic zircon,1.6*14mm,Clear CZ,Titanium Color,6.76,29.9,19,TCSV3093-CL1414.webp,78
TCSV4041-1414,NIP-074,Threadless Nipple ring,ASTM F136 Titanium Threadless nipple ring +cubic zircon,1.6*14mm； 5.3*8.7mmTop,Clear CZ,Titanium Color,5.33,24.9,32,TCSV4041-1414.webp,78
TCSV4042G-1414,NIP-075,Threadless Nipple ring,PVD Gold ASTM F136 Titanium threadless nipple ring with clear CZ,"1.6*14mm, 9.7*7mmTotal",Clear CZ,PVD Gold,5.89,24.9,23,TCSV4042G-1414.webp,78
TD00G-1410,BEL-079,Internally Threaded Belly Ring,PVD Gold ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,1.6*10+4*5/8mm,Clear CZ,PVD Gold,3.45,17.9,545,TD00G-1410.webp,79
TD00G-1412,BEL-080,Internally Threaded Belly Ring,clear CZ PVD Gold ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,1.6*12*5/8+4mmTop,Clear CZ,PVD Gold,3.45,17.9,154,TD00G-1412.webp,79
TD00-SB1410,BEL-081,Internally Threaded Belly Ring,clear CZ ASTM F136 titanium internally threaded belly button ring,1.6*10+5/8mm,Sapphire Blue,Titanium Color,4.67,24.9,174,TD00-SB1410.webp,79
TD00-TAN1410,BEL-082,Internally Threaded Belly Ring,ASTM F136 titanium internally threaded belly button ring,1.6*10+5/8+4mm,Tanzanite CZ,Titanium Color,4.73,24.9,57,TD00-TAN1410.webp,79
TD05-1412,BEL-083,Internally Threaded Belly Ring,ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,1.6*12+4mmTop,Clear CZ,Titanium Color,2.44,14.9,53,TD05-1412.webp,79
TD05G-1412,BEL-084,Internally Threaded Belly Ring,PVD gold ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,"1.6*12+4mmTop，RD 6mm,4mm,3mm",Clear CZ,PVD Gold,2.56,17.9,305,TD05G-1412.webp,79
TD09-1410,BEL-085,Internally Threaded Belly Ring,ASTM F136 titanium internally threaded belly button ring with 5A clear CZ,1.6*10*4+3+4+6+4+3m m,Clear CZ,Titanium Color,3.56,19.9,53,TD09-1410.webp,79
TD15-1412,BEL-086,Internally Threaded Belly Ring,ASTM F136 titanium internally threaded belly button ring with 5A clear CZ+,1.6*12+5/8mm,Clear CZ,Titanium color,1.96,14.9,536,TD15-1412.webp,79
TD15G-1408,BEL-087,Internally Threaded Belly Ring,PVD gold ASTM F136 Titanium internally threaded belly ring with clear CZ stone,1.6*8+5/8mm,Clear CZ,PVD gold color,2.08,14.9,115,TD15G-1408.webp,79
TD15G-1410,BEL-088,Internally Threaded Belly Ring,PVD gold ASTM F136 Titanium internally threaded belly ring with clear CZ stone,1.6*10+5/8mm,Clear CZ,PVD gold color,2.08,14.9,431,TD15G-1410.webp,79
TD15G-1412,BEL-089,Internally Threaded Belly Ring,PVD gold ASTM F136 Titanium internally threaded belly ring with clear CZ stones,1.6*12+5/8mm,Clear CZ,PVD gold,2.08,14.9,375,TD15G-1412.webp,79
TD15-OP05-1410,BEL-090,Internally Threaded Belly Ring,ASTM F136 titanium internally threaded belly button ring with synthetic opal-op05,1.6*10*5/8mm,OP05,Titanium color,4.78,24.9,110,TD15-OP05-1410.webp,79
TD15-OP17-1410,BEL-091,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly button ring with Synthetic opal-OP17,1.6*10+5/8mm,OP17,Titanium Color,4.33,19.9,11,TD15-OP17-1410.webp,79
TD15-VM1410,BEL-092,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly button ring with Vitrail Medium CZ stone,1.6*10*5/8mm,VM CZ,Titanium color,2.44,14.9,115,TD15-VM1410.webp,79
TD40-1410,BEL-093,Internally Threaded Belly Ring,ASTM F136 Titanium+cubic zi rcon,1.6*10+4mm,Clear CZ,Titanium color,7.78,29.9,82,TD40-1410.webp,79
TD40G-1410,BEL-094,Internally Threaded Belly Ring,PVD GOLD ASTM F136 Titanium+cubic zi rcon,1.6*10+4mmTop,Clear CZ,PVD gold color,7.9,29.9,19,TD40G-1410.webp,79
TD49-CL1410,BEL-095,Internally Threaded Belly Ring,ASTM F136 TItanium internally threaded belly ring with CZ Stones,1.6*10+4mm,Clear CZ,Titanium color,7.78,29.9,27,TD49-CL1410.webp,79
TD49-DAG1410,BEL-096,Internally Threaded Belly Ring,ASTM F136 TItanium internally threaded belly ring with CZ Stones,1.6*10mm,Dark Apple Green CZ,Titanium color,8.89,34.9,13,TD49-DAG1410.webp,79
TD49G-CL1410,BEL-097,Internally Threaded Belly Ring,PVD gold color ASTM F136 TItanium internally threaded belly ring with CZ Stones,1.6*10+4mmTop,Clear CZ,PVD gold color,7.9,29.9,33,TD49G-CL1410.webp,79
TD49-GN1410,BEL-098,Internally Threaded Belly Ring,ASTM F136 TItanium internally threaded belly ring with CZ Stones,1.6*10mm,Green CZ,Titanium color,8.89,34.9,1,TD49-GN1410.webp,79
TD53-AQ1410,BEL-099,Internally Threaded Belly Ring,ASTM F136 Titanium internally threaded belly ring with CZ,1.6*10mm,Aqua CZ,Titanium color,4.18,19.9,44,TD53-AQ1410.webp,79
